DATE,OPEN,HIGH,LOW,CLOSE,AMOUNT,VOLUME
20100104,17.740,17.790,17.390,17.400,52237583,2981577
20100105,17.400,17.510,17.140,17.490,59232969,3419383
20100106,17.500,17.850,17.370,17.530,67154112,3805402
20100107,17.400,17.590,17.060,17.090,62347985,3614519
20100108,17.080,17.190,16.880,17.170,43942091,2578220
20100111,17.500,17.580,17.180,17.310,50094854,2895546
20100112,17.270,18.000,17.100,17.980,135123900,7604775
20100113,17.550,17.950,17.320,17.380,98023533,5556366
20100114,17.480,17.920,17.380,17.860,103879918,5890663
20100115,17.900,18.150,17.670,17.950,104148698,5808585
20100118,18.000,18.440,17.950,18.370,139395080,7645153
20100119,18.370,18.370,18.030,18.130,90489353,4986935
20100120,18.130,18.200,17.340,17.410,100518968,5677614
20100121,17.410,17.650,17.270,17.620,52577230,3010467
20100122,17.320,17.500,16.610,16.990,78080477,4576851
20100126,16.720,16.940,16.310,16.440,54866905,3321606
20100127,16.510,16.590,16.180,16.230,31340583,1919591
20100128,16.220,16.380,16.170,16.280,29568675,1817450
20100129,16.280,16.480,16.150,16.280,30238997,1851731
20100201,16.340,16.580,16.120,16.450,39044789,2385739
20100202,16.500,16.630,16.220,16.250,28771707,1748613
20100203,16.290,16.560,15.640,16.540,45862419,2834734
20100204,16.440,16.520,16.300,16.380,33226811,2023907
20100205,16.000,16.160,15.640,15.760,48506341,3060875
20100208,15.770,16.270,15.720,16.150,26623351,1667776
20100209,16.090,16.180,15.900,15.980,20754094,1295902
20100210,16.090,16.180,15.940,16.140,17097156,1063567
20100211,16.140,16.220,16.020,16.090,14625527,906755
20100212,16.110,16.300,16.110,16.280,18092655,1114198
20100222,16.200,16.400,16.100,16.120,28016577,1723390
20100223,16.120,16.200,15.710,15.940,28527000,1796898
20100224,15.880,16.350,15.750,16.260,31964405,1986640
20100225,16.340,16.580,16.250,16.550,49254283,3001820
20100226,16.500,16.690,16.400,16.610,49643073,3004448
20100301,16.590,17.030,16.510,16.790,57870948,3438455
20100302,16.700,16.730,16.500,16.570,38420878,2316916
20100303,16.580,16.880,16.420,16.810,53040028,3176028
20100304,16.810,16.980,16.170,16.210,54602936,3282239
20100305,16.360,16.730,16.180,16.520,37650469,2290846
20100308,16.380,16.720,16.350,16.610,27913041,1684076
20100309,16.640,16.640,16.350,16.500,29821897,1808122
20100310,16.700,16.880,16.410,16.540,36488028,2192916
20100311,16.600,16.650,16.000,16.290,39211721,2393816
20100312,16.300,16.350,16.000,16.000,34287634,2123242
20100315,16.050,16.270,15.750,16.190,35501602,2225124
20100316,16.050,16.250,15.870,16.080,21328320,1330532
20100317,16.100,16.330,16.020,16.320,30615047,1888187
20100318,16.400,16.540,16.240,16.310,33268345,2030404
20100319,16.320,16.640,16.250,16.520,48403295,2941552
20100322,16.530,16.550,16.200,16.330,54179360,3321868
20100323,16.300,16.340,16.110,16.150,29602267,1827514
20100324,16.190,16.250,16.110,16.130,30413604,1883389
20100325,16.080,16.190,15.830,16.160,50532434,3172839
20100326,16.040,16.310,15.920,16.200,39145279,2421552
20100329,16.330,16.450,16.270,16.370,46910705,2867076
20100330,16.350,16.370,16.220,16.330,40337003,2475994
20100331,16.350,16.350,16.150,16.190,30630191,1888199
20100401,16.190,16.480,16.170,16.460,57135909,3485916
20100402,16.480,16.580,16.380,16.550,56872816,3447280
20100406,16.580,16.610,16.390,16.460,54143934,3281949
20100407,16.470,16.660,16.410,16.560,50155372,3028438
20100408,16.560,16.560,16.300,16.330,42544078,2592330
20100409,16.350,16.520,16.320,16.450,36247752,2206351
20100412,16.450,16.540,15.990,16.280,56355056,3466901
20100413,16.260,16.450,16.000,16.340,54470720,3350531
20100414,16.330,17.280,16.200,16.950,142200200,8478790
20100415,16.890,16.890,16.570,16.690,77711260,4649015
20100416,16.670,17.040,16.620,16.780,81709333,4842733
20100419,16.800,17.170,16.330,16.360,154037840,9110489
20100420,16.390,16.580,15.750,16.000,78601233,4910482
20100421,16.120,16.250,15.880,16.180,66144390,4112652
20100422,16.160,16.170,15.880,16.040,57112301,3568412
20100423,16.110,16.110,15.690,15.800,51475770,3230962
20100427,15.620,15.630,14.300,14.790,81852717,5481836
20100428,14.610,14.880,14.380,14.610,37369014,2560290
20100429,14.660,15.000,14.550,14.690,40568152,2748390
20100430,14.660,14.680,14.020,14.240,28614101,2007312
20100504,14.020,14.260,13.930,14.020,21139688,1502525
20100505,13.930,14.350,13.820,14.300,31374199,2227823
20100506,14.200,14.640,14.160,14.180,45375720,3149296
20100507,13.900,14.760,13.560,14.700,74762640,5145852
